Name,Location,Latitude,Longitude
 Shreveport,"6703 Pines Rd Shreveport LA , (318) 688 5377",-93.86369,32.44716
 Shreveport,"9132 Mansfield Rd Shreveport LA , (318) 687 0511",-93.80124,32.40559
 Shreveport,"6363 Hearne Ave Shreveport LA , (318) 635 4878",-93.78091,32.44902
 Shreveport,"1733 Line Ave Shreveport  LA , (318) 424 5200",-93.74592,32.49549
 Shreveport,"1209 E Bert Kouns Industrial Loop Shreveport LA , (318) 798 1700",-93.72195,32.41916
 Shreveport,"6301 Youree Dr Shreveport LA , (318) 798 3006",-93.72195,32.45045
  Bossier City,"2830 Airline Dr Bossier City LA , (318) 747 7885",-93.70985,32.55362
 Bossier City,"1985 Airline Dr Bossier City LA , (318) 549 0622",-93.70125,32.52744
 Barksdale Afb,"Douhet Dr Bldg # 4250 Barksdale Afb LA , (318) 741 3845",-93.67912,32.49244
  Bossier City,"4020 Industrial Dr Bossier City LA , (318) 741 1915",-93.67206,32.53173
 Leesville,"1305 S 5th St Leesville LA , (337) 239 9971",-93.26625,31.13073
 Westlake,"801 Sampson St Westlake LA , (337) 439 1744",-93.25828,30.24254
 Lake Charles,"108 W Mcneese St Lake Charles LA , (337) 477 7876",-93.21886,30.17632
 Lake Charles,"2500 Gertsner Memorial Dr Lake Charles LA , (337) 478 7034",-93.18035,30.20706
 Arkadelphia,"2820 Pine St Arkadelphia AR , (870) 246 5949",-93.08384,34.12093
 Benton,"1918 Congo Rd  Benton AR , (501) 778 1095",-92.57229,34.58189
 Alexandria,"5410 Jackson Street Ext  Alexandria LA , (318) 445 5955",-92.48522,31.27082
 Alexandria,"2348 N Macarthur Dr Alexandria LA , (318) 443 8500",-92.47308,31.3154
 Crowley,"2601 N Parkerson Ave Crowley LA , (337) 788 1161",-92.38462,30.23381
 Little Rock,"6000 W Markham St Little Rock AR , (501) 666 6602",-92.3412,34.75237
 Monroe,"2401 Louisville Ave Monroe LA , (318) 322 3723",-92.09805,32.52328
 Monroe,"1710 Martin Luther King Jr Dr Monroe LA , (318) 325 1150",-92.08226,32.48869
 Monroe,"3810 Desiard St Monroe LA , (318) 343 2062",-92.07611,32.52427
 Lafayette,"2256 Ambassador Caffery Pkwy Lafayette LA , (337) 981 1075",-92.07587,30.21156
  El Paso,"6002 N Mesa St  El Paso TX  , (915) 845 3999",-106.52894,31.83002
  Lewisville,"1104 W Main St Lewisville TX , (972) 436 1700",-97.02098,33.04196
  Merritt Island,"1455 N Courtenay Parkway, ,  Merritt Island , FL , (321) 459 1641",-88.93521,30.40246
  Phoenix,"4325 E Thomas Rd   ,  Phoenix , AZ  , (602) 956 7551",-111.98892,33.48011
  Uvalde,"515 E Main St ,  Uvalde , TX , (830) 278 1445",-99.778,29.21213
  Yuma,"581 E 16th St ,  Yuma , AZ  , (928) 329 9096",-114.6119,32.69846
 Abbeville,"900 E Greenwood St , Abbeville , SC , (864) 459 2099",-82.34782,34.18636
 Aberdeen,"620 E Heron St , Aberdeen , WA , (360) 533 2176",-123.81133,46.97623
 Aberdeen,"4078 Us 1 , Aberdeen , NC , (910) 692 6686",-79.523,35.04467
 Aberdeen,"1006 Beards Hill Rd , Aberdeen , MD , (410) 272 7734",-76.18451,39.5219
 Abilene,"3901 N 1st St , Abilene , TX , (915) 677 5917",-99.77039,32.45227
 Abilene,"3650 S Clack St , Abilene , TX , (915) 695 7961",-99.76827,32.40705
 Abilene,"3901 N 1st St , Abilene , TX , (915) 677 5917",-99.76759,32.45197
 Abilene,"1633 Antilley Rd , Abilene , TX , (915) 695 8590",-99.74396,32.37268
 Abilene,"1018 N Judge Ely Blvd , Abilene , TX , (915) 672 4700",-99.70612,32.46063
 Abilene,"2100 N Buckeye Ave , Abilene , KS , (785) 263 1184",-97.21429,38.93732
 Abingdon,"915 E Main St , Abingdon , VA , (276) 628 8770",-81.93933,36.71493
 Abington,"900 Easton Rd , Abington , PA , (215) 886 6383",-75.13769,40.11683
 Absecon,"41.3 Garden State Pkwy , Absecon , NJ , (609) 652 2658",-74.53223,39.46508
 Absecon,"320 White Horse Pike , Absecon , NJ , (609) 641 2079",-74.50422,39.42728
 Accokeek,"15785 Livingston Rd , Accokeek , MD , (301) 203 4488",-77.00851,38.66979
 Acton,"55 Great Rd , Acton , MA , (978) 263 9790",-71.40954,42.47596
 Acworth,"3630 Cobb Pky Nw , Acworth , GA , (770) 966 1999",-84.69525,34.04306
 Acworth,"5010 Glade Rd , Acworth , GA , (770) 917 9330",-84.67684,34.07428
 Ada,"609 N Mississippi Ave , Ada , OK  , (580) 436 1138",-96.67017,34.78042
 Adairsville,"7871 Adairsville Hwy , Adairsville , GA , (770) 773 1888",-84.9262,34.3759
 Addison,"1012 N Rohlwing Rd , Addison , IL , (630) 705 9078",-88.03201,41.94803
 Addison,"440 W Lake St , Addison , IL , (630) 543 5005",-87.99982,41.93712
 Adel,"1201 W 4th St , Adel , GA , (229) 896 2727",-83.43594,31.13432
 Adelanto,"14200 High Point Ct , Adelanto , CA , (760) 253 9220",-117.4155,34.50891
 Adrian,"1400 S Main St , Adrian , MI , (517) 265 8116",-84.04339,41.87909
 Adrian,"1225 N Main St , Adrian , MI , (517) 266 7700",-84.02941,41.91024
 Agoura Hills,"29136 Roadside Dr , Agoura Hills , CA , (818) 889 2739",-118.75938,34.14522
 Ahoskie,"1101 Memorial Dr E , Ahoskie , NC , (252) 332 4107",-76.97694,36.27554
 Aiken,"3580 Richland Ave W , Aiken , SC , (803) 649 7826",-81.76778,33.56379
 Aiken,"2101 Whiskey Rd , Aiken , SC , (803) 649 4503",-81.71627,33.51697
 Aiken,"1110 York St Ne , Aiken , SC , (803) 641 4409",-81.70293,33.577
 Akron,"65 Montrose West Ave , Akron , OH , (330) 666 8988",-81.65367,41.13379
 Akron,"1892 W Market St , Akron , OH , (330) 864 9565",-81.57578,41.11223
 Akron,"1390 Vernon Odom Blvd , Akron , OH , (330) 867 8332",-81.57084,41.06439
 Akron,"3196 Manchester Rd , Akron , OH , (330) 644 8688",-81.55328,41.01426
 Akron,"2337 S Main St , Akron , OH , (330) 773 8848",-81.52628,41.02347
 Akron,"440 E Waterloo Rd , Akron , OH , (330) 785 4010",-81.5112,41.02871
 Akron,"671 E Market St , Akron , OH , (330) 762 3498",-81.49645,41.07693
 Akron,"3180 S Arlington Rd , Akron , OH , (330) 856 3838",-81.49295,40.98565
 Akron,"1175 S Arlington St , Akron , OH , (330) 773 6950",-81.49114,41.03998
 Akron,"1751 Brittain Rd , Akron , OH , (330) 633 5118",-81.46591,41.11034
 Akron,"1294 Canton Rd , Akron , OH , (330) 733 7973",-81.4269,41.03038
 Alabaster,"681 1st St Sw , Alabaster , AL , (205) 620 1200",-86.81834,33.23805
 Alamogordo,"117 S White Sands Blvd , Alamogordo , NM , (505) 437 9297",-105.96001,32.88942
 Alamosa,"2501 Main St , Alamosa , CO , (719) 589 5538",-105.89474,37.47533
 Albany,"1435 Geary Cir Se , Albany , OR , (541) 917 1077",-123.0843,44.62754
 Albany,"3060 Pacific Blvd Se , Albany , OR , (541) 926 6810",-123.06703,44.64077
 Albany,"699 N Cross St , Albany , KY , (606) 387 9757",-85.13541,36.69568
 Albemarle,"1720 Us 52 N , Albemarle , NC , (704) 982 3812",-80.19271,35.38421
 Albert Lea,"2011 E Main Rd , Albert Lea , MN , (507) 373 3365",-93.34199,43.65402
 Albertville,"6495 La Beaux Ave Ne , Albertville , MN , (763) 497 4992",-93.66355,45.24492
 Albertville,"7300 Us 431 , Albertville , AL , (256) 878 1193",-86.20554,34.27663
 Albion,"1508 N Eaton St , Albion , MI , (517) 629 2882",-84.75618,42.26175
 Albuquerque,"3301 Coors Blvd Nw , Albuquerque , NM , (505) 831 1039",-106.70184,35.11983
 Albuquerque,"4100 Central Ave Sw , Albuquerque , NM , (505) 836 6656",-106.68513,35.08545
 Albuquerque,"3504 Isleta Blvd Sw , Albuquerque , NM , (505) 877 8879",-106.68052,35.02552
 Albuquerque,"1050 Rio Grande Blvd Nw , Albuquerque , NM , (505) 248 1702",-106.67065,35.1062
 Albuquerque,"9380 Coors Blvd Nw , Albuquerque , NM , (505) 898 9330",-106.66264,35.18576
 Albuquerque,"10000 Coors Byp Nw , Albuquerque , NM , (505) 792 2134",-106.65882,35.19625
 Albuquerque,"101 Lomas Blvd Ne , Albuquerque , NM , (505) 243 6869",-106.64564,35.09076
 Albuquerque,"5230 4th St Nw , Albuquerque , NM , (505) 344 4501",-106.64172,35.13591
 Albuquerque,"2501 Mulberry St Se , Albuquerque , NM , (505) 857 5150",-106.63536,35.05798
 Albuquerque,"1916 Central Ave Se , Albuquerque , NM , (505) 842 3000",-106.6253,35.08096
 Albuquerque,"2110 Carlisle Blvd Ne , Albuquerque , NM , (505) 255 9701",-106.60392,35.10234
 Albuquerque,"4720 Montgomery Blvd Ne , Albuquerque , NM , (505) 884 4020",-106.59073,35.1307
 Albuquerque,"5115 Central Ave Ne , Albuquerque , NM , (505) 255 9800",-106.58804,35.07817
 Albuquerque,"6060 San Mateo Blvd Ne , Albuquerque , NM , (505) 884 5900",-106.58616,35.14568
 Albuquerque,"5215 Menaul Blvd Ne , Albuquerque , NM , (505) 881 8000",-106.5861,35.10935
 Albuquerque,"5301 Gibson Blvd Se , Albuquerque , NM , (505) 262 6000",-106.58293,35.0585
 Albuquerque,"5970 Alameda Blvd Ne , Albuquerque , NM , (505) 857 5150",-106.57786,35.18421
 Albuquerque,"7101 Lomas Blvd Ne , Albuquerque , NM , (505) 266 1337",-106.56841,35.08739
 Albuquerque,"5315 Wyoming Blvd Ne , Albuquerque , NM , (505) 823 9700",-106.55131,35.14076
 Albuquerque,"2004 Wyoming Blvd Ne , Albuquerque , NM , (505) 296 7711",-106.55053,35.10397
 Albuquerque,"425 Eubank Blvd Ne , Albuquerque , NM , (505) 298 2544",-106.53255,35.07884
 Albuquerque,"10901 Montgomery Blvd Ne , Albuquerque , NM , (505) 299 8211",-106.51742,35.13085
 Albuquerque,"740 Juan Tabo Blvd Ne , Albuquerque , NM , (505) 299 2888",-106.51488,35.08101
 Alcoa,"102 Cusick Rd , Alcoa , TN , (865) 977 7776",-83.98264,35.81209
 Alcoa,"115 Lindsay St , Alcoa , TN , (865) 981 9313",-83.97171,35.76514
 Alexander City,"4250 Highway 280 , Alexander City , AL , (256) 329 2317",-85.95798,32.9207
 Alexandria,"303 30th Ave W , Alexandria , MN , (320) 762 5300",-95.38069,45.8628
 Alexandria,"209 Nokomis St , Alexandria , MN , (320) 763 1675",-95.36655,45.89096
 Alexandria,"1203 Macarthur Dr , Alexandria , LA , (318) 448 7870",-92.47574,31.28984
 Alexandria,"3705 S Macarthur Dr , Alexandria , LA , (318) 448 8446",-92.44767,31.26149
 Alexandria,"7914 Alexandria Pike , Alexandria , KY , (859) 448 9144",-84.39291,38.96877
 Alexandria,"5890 Kingstowne Center Dr , Alexandria , VA , (703) 924 7164",-77.13611,38.77206
 Alexandria,"5801 Duke St , Alexandria , VA , (703) 658 8700",-77.13279,38.81447
 Algonquin,"224 S Randall Rd , Algonquin , IL , (847) 854 7808",-88.33547,42.17289
 Alhambra,"1520 W Valley Blvd , Alhambra , CA , (626) 289 8090",-118.13938,34.07744
 Alhambra,"600 E Main St , Alhambra  , CA , (626) 282 9066",-118.12082,34.09788
 Aliquippa,"1305 Brodhead Rd , Aliquippa , PA , (724) 375 9511",-80.27846,40.60247
 Aliso Viejo,"26801 Aliso Creek Rd , Aliso Viejo , CA , (949) 831 4110",-117.72353,33.57323
 Aliso Viejo,"27002 La Paz Rd , Aliso Viejo , CA , (949) 643 1913",-117.70735,33.5707
 Allegan,"1582 M 40 N , Allegan , MI , (616) 673 7168",-85.87324,42.53369
 Allegan,"1564 Lincoln Rd , Allegan , MI , (269) 673 7168",-85.8722,42.53183
 Allen,"604 W Mcdermott Dr , Allen , TX , (972) 727 6121",-96.67584,33.10205
 Allendale,"4842 Lake Michigan Dr , Allendale , MI , (616) 895 4944",-85.90546,42.97215
 Allentown,"3105 Hamilton Blvd , Allentown , PA , (610) 432 2614",-75.51809,40.58305
 Allentown,"3301 Lehigh St , Allentown , PA , (610) 967 4333",-75.48927,40.55584
 Allentown,"1958 S 4th St , Allentown , PA , (610) 797 1110",-75.45518,40.57885
 Alliance,"1845 W State St , Alliance , OH , (216) 821 1554",-81.13292,40.90201
 Alliance,"757 S Union Ave , Alliance , OH , (216) 823 9398",-81.10603,40.91444
 Allison Park,"4885 William Flynn Hwy , Allison Park , PA , (724) 443 1630",-79.94759,40.60025
 Allston,"210 Brighton Ave , Allston , MA , (617) 783 1060",-71.13498,42.35322
 Alma,"1675 Wright Ave , Alma , MI , (989) 463 1076",-84.66692,43.39539
 Alpharetta,"3325 Old Milton Pky  #B , Alpharetta , GA ,",-88.72663,32.36436
 Alpharetta,"2310 Mansell Rd , Alpharetta , GA , (770) 518 3369",-84.30625,34.03798
 Alpharetta,"2192 North Point Cir , Alpharetta , GA , (770) 667 9464",-84.29481,34.05075
 Alpharetta,"159 Haynes Bridge Rd , Alpharetta , GA , (770) 343 8052",-84.29388,34.06892
 Alpharetta,"10901 Georgia Ln , Alpharetta , GA , (770) 664 6444",-84.28554,34.04687
 Alpharetta,"890 N Main St , Alpharetta , GA , (770) 475 8200",-84.27908,34.09414
 Alpharetta,"5025 Abbotts Bridge Rd , Alpharetta , GA , (770) 521 7330",-84.21214,34.06426
 Alsip,"12010 S Pulaski Rd , Alsip , IL , (708) 597 1909",-87.71982,41.67418
 Alta Loma,"7235 Haven Ave , Alta Loma ,  CA , (909) 944 3043",-117.57558,34.12266
 Altamonte Springs,"1190 Spring Centre South Blvd , Altamonte Springs , FL , (407) 788 2113",-81.39272,28.68683
 Altamonte Springs,"476 E Altamonte Dr , Altamonte Springs , FL , (407) 339 1133",-81.37505,28.66357
 Altavista,"1303 Main St , Altavista , VA , (434) 369 6508",-79.2741,37.12063
 Alton,"2901 Homer M Adams Pky , Alton , IL , (618) 462 8270",-90.14373,38.91519
 Altoona,"3300 9th St Nw , Altoona , IA , (515) 967 3450",-93.50076,41.65834
 Altoona,"300 W Plank Rd , Altoona , PA , (814) 942 2124",-78.40431,40.47703
 Altoona,"200 E Pleasant Valley Blvd , Altoona , PA , (814) 942 8347",-78.37406,40.51782
 Altus,"2516 E Broadway St , Altus , OK , (580) 477 4800",-99.29963,34.63758
 Alvin,"1675 Highway 35 Byp N , Alvin , TX , (281) 331 1259",-95.23262,29.4391
 Amarillo,"4317 Teckla Blvd , Amarillo , TX , (806) 355 8682",-101.88915,35.16582
 Amarillo,"4210 W Interstate 40 , Amarillo , TX , (806) 359 9373",-101.88473,35.19196
 Amarillo,"1800 S Georgia St , Amarillo , TX , (806) 353 2671",-101.86643,35.19438
 Amarillo,"1314 Ross St , Amarillo , TX , (806) 374 2387",-101.81688,35.19735
 Amelia,"1188 W Ohio Pike , Amelia , OH , (513) 753 3392",-84.25087,39.05071
 American Fork,"215 E State Rd , American Fork , UT , (801) 756 5722",-111.79229,40.37573
 Americus,"922 E Lamar St , Americus , GA , (229) 924 5180",-84.22132,32.07141
 Ames,"209 Lincoln Way , Ames , IA , (515) 232 6550",-93.61225,42.02306
 Ames,"2801 E 13th St , Ames , IA , (515) 233 4010",-93.57616,42.03452
 Amesbury,"133 Macy St , Amesbury , MA , (978) 388 3411",-70.90858,42.84625
 Amherst,"7886 Leavitt Rd , Amherst , OH ,",-82.08707,29.15917
 Amite,"1000 W Oak St , Amite , LA , (504) 747 2299",-90.52381,30.72668
 Amityville,"498 Sunrise Hwy , Amityville , NY , (631) 842 6122",-73.42586,40.68634
 Amory,"1511 Highway 278 E , Amory , MS , (662) 257 3000",-88.45973,33.9683
 Anacortes,"1010 14th St , Anacortes , WA , (206) 299 2513",-122.61288,48.51112
 Anaheim,"510 S Euclid St , Anaheim , CA , (714) 956 1451",-117.9413,33.82597
 Anaheim,"1626 W Katella Ave , Anaheim , CA , (714) 778 6788",-117.938,33.80302
 Anaheim,"1201 S Anaheim Blvd , Anaheim , CA , (714) 635 8750",-117.90808,33.81794
 Anaheim,"2210 E Lincoln Ave , Anaheim , CA , (714) 520 5268",-117.88595,33.83931
 Anaheim,"5799 E La Palma Ave   , Anaheim  , CA  , (714) 695 0212",-117.78753,33.85945
 Anaheim,"8295 E Santa Ana Canyon Rd   ,   , CA , (714) 637 9920",-117.74342,33.86804
 Anchorage,"3841 W Dimond Blvd , Anchorage , AK , (907) 563 7019",-149.95032,61.13782
 Anchorage,"1341 W Northern Lights Blvd , Anchorage , AK , (907) 277 9150",-149.909,61.19542
 Anchorage,"320 W 5th Ave , Anchorage , AK , (907) 278 5653",-149.88789,61.21743
 Anchorage,"3637 Old Seward Hwy , Anchorage , AK , (907) 561 1089",-149.86801,61.18736
 Anchorage,"900 E Dimond Blvd , Anchorage , AK , (907) 344 7323",-149.86568,61.14431
 Anchorage,"2514 E Tudor Rd , Anchorage , AK , (907) 563 4401",-149.83383,61.18072
 Anchorage,"Elmendorf Afb , Anchorage , AK , (907) 753 4486",-149.8196,61.27584
 Anchorage,"700 Northway Dr , Anchorage , AK , (907) 279 9640",-149.81281,61.21526
 Anchorage,"2729 Boniface Pky , Anchorage , AK , (907) 337 6612",-149.77812,61.19598
 Andalusia,"1137 W Byp , Andalusia , AL , (334) 427 5070",-86.51839,31.27594
 Anderson,"2910 Broadway St , Anderson , IN , (765) 640 8468",-85.67496,40.14812
 Anderson,"5607 S Scatterfield Rd , Anderson , IN , (765) 649 5272",-85.65311,40.05795
 Anderson,"925 S Scatterfield Rd , Anderson , IN , (765) 649 5015",-85.65296,40.10661
 Anderson,"301 Pearman Dairy Rd , Anderson , SC , (864) 225 1148",-82.68401,34.5022
 Anderson,"2719 N Main St , Anderson , SC , (864) 226 3235",-82.66181,34.53004
 Anderson,"101 W Shockley Ferry Rd , Anderson , SC , (864) 231 9104",-82.64848,34.47918
 Andover,"1536 175th Ln Ne , Andover , MN , (763) 434 5242",-93.23174,45.28815
 Andrews Air Force Base,"Brookley Ave Bldg 1810 , Andrews Air Force Base , MD , (301) 736 4864",-76.88448,38.81037
 Angels Camp,"290 S Main St , Angels Camp , CA , (209) 736 2057",-120.5547,38.07944
 Angleton,"1209 E Mulberry St , Angleton , TX , (979) 849 9748",-95.41792,29.17045
 Angola,"1804 N Wayne St , Angola , IN , (260) 665 6955",-84.99934,41.65503
 Ankeny,"1020 E 1st St , Ankeny , IA , (515) 964 7610",-93.58338,41.73199
 Ankeny,"2501 Se Delaware Ave , Ankeny , IA , (515) 963 8027",-93.58098,41.70463
 Ann Arbor,"151 S Zeeb Rd , Ann Arbor , MI , (734) 622 1200",-83.83829,42.28434
 Ann Arbor,"2295 W Stadium Blvd , Ann Arbor , MI , (734) 761 8943",-83.77775,42.27541
 Ann Arbor,"458 Briarwood Cir , Ann Arbor , MI , (734) 761 9313",-83.74212,42.24115
 Ann Arbor,"725 Victors Way , Ann Arbor , MI , (734) 996 1223",-83.73798,42.24002
 Ann Arbor,"4885 Washtenaw Ave , Ann Arbor , MI , (734) 434 8994",-83.66373,42.25077
 Anna,"1735 E Vienna St , Anna , IL , (618) 833 2978",-89.22773,37.4629
 Annandale,"7064 Columbia Pike , Annandale , VA , (703) 642 2133",-77.18884,38.83351
 Annapolis,"1952 West St , Annapolis , MD , (410) 573 1474",-76.5273,38.98094
 Anniston,"1818 Quintard Ave , Anniston , AL , (256) 237 4161",-85.82692,33.66802
 Anoka,"123 W Main St , Anoka , MN , (763) 427 2830",-93.39339,45.19971
 Ansonia,"20 Pershing Dr , Ansonia , CT , (203) 734 6111",-73.0835,41.33387
 Anthem,"1098 W Honda Bow Rd , Anthem , AZ , (623) 465 9282",-112.08698,33.87166
 Antioch,"338 W Il 173 , Antioch , IL , (847) 395 8806",-88.09572,42.4712
 Antioch,"5300 Hickory Hollow Pky , Antioch , TN , (615) 731 7257",-86.65524,36.04714
 Apache Junction,"530 W Apache Trl , Apache Junction , AZ , (480) 983 1078",-111.55257,33.41536
 Apache Junction,"2933 S Tomahawk Rd , Apache Junction , AZ , (480) 288 2228",-111.5286,33.38836
 Apex,"1303 E Williams St , Apex , NC , (919) 362 8745",-78.84114,35.71642
 Apopka,"3010 E Sr 436 , Apopka , FL , (407) 869 6973",-81.45461,28.671
 Apple Valley,"20610 Bear Valley Rd , Apple Valley , CA , (760) 247 9229",-117.21423,34.47154
 Apple Valley,"7501 150th St W , Apple Valley , MN , (952) 432 1771",-93.21825,44.73212
 Appleton,"2511 W College Ave , Appleton , WI , (920) 731 2733",-88.44623,44.26129
 Appleton,"919 W Wisconsin Ave , Appleton , WI , (920) 739 7552",-88.41955,44.27283
 Appleton,"2020 E Northland Ave , Appleton , WI , (920) 749 9040",-88.37395,44.28758
 Appleton,"W3154 Van Roy Rd , Appleton , WI , (920) 738 5625",-88.34804,44.2574
 Arab,"554 N Brindlee Mountain Pky , Arab , AL , (256) 931 9800",-86.50282,34.32445
 Arcadia,"82 Las Tunas Dr , Arcadia , CA , (626) 445 5718",-118.03513,34.10763
 Arcadia,"1632 E Blaschko Ave , Arcadia , WI , (608) 323 7464",-91.47369,44.24332
 Arcadia,"1650 E 236th St , Arcadia , IN , (317) 758 6860",-86.12983,40.13123
 Archbold,"1104 S Defiance St , Archbold , OH , (419) 445 7481",-84.30629,41.51089
 Ardmore,"2605 W Broadway St , Ardmore , OK , (580) 223 1661",-97.16135,34.17311
 Ardmore,"1201 N Commerce St , Ardmore , OK , (580) 223 1154",-97.14319,34.18759
 Arlington,"20318 77th Ave Ne , Arlington , WA , (360) 403 7131",-122.12738,48.17987
 Arlington,"4900 S Cooper St , Arlington , TX , (817) 784 1615",-97.1342,32.66705
 Arlington,"3500 Matlock Rd , Arlington  ,TX  , (817) 417 4393",-97.11517,32.68933
 Arlington,"1520 N Cooper St , Arlington , TX , (817) 261 1577",-97.11456,32.75771
 Arlington,"3627 Columbia Pike , Arlington , VA , (703) 553 9455",-77.09435,38.86081
 Arlington,"1801 N Moore St , Arlington , VA , (703) 527 5696",-77.07133,38.89615
 Arlington Heights,"675 E Rand Rd , Arlington Heights , IL , (847) 255 1084",-87.97392,42.10811
 Arnold,"3600 W Outer Rd , Arnold , MO , (636) 282 5845",-90.38966,38.41166
 Arnold,"839 Jeffco Blvd , Arnold , MO , (636) 296 9730",-90.3703,38.44813
 Artesia,"18918 Norwalk Blvd , Artesia , CA , (562) 468 1413",-118.07218,33.85965
 Arvada,"15240 W 64th Ave , Arvada , CO , (303) 422 8457",-105.17062,39.81234
 Arvada,"12580 W 64th Ave , Arvada , CO , (303) 422 6316",-105.13937,39.81248
 Arvada,"7613 W 88th Ave , Arvada , CO , (303) 425 1970",-105.08201,39.85656
 Arvada,"7470 W 52nd Ave , Arvada , CO , (303) 424 3016",-105.07947,39.79092
 Arvada,"5255 W 80th Ave , Arvada , CO , (303) 427 8985",-105.05414,39.84203
 Arvin,"802 Bear Mountain Blvd , Arvin , CA , (661) 854 9045",-118.8334,35.20926
 Asbury Park,"35 Sunset Dr , Asbury Park , NJ , (732) 774 9859",-74.01548,40.22839
 Asbury Park,"1401 Main St , Asbury Park , NJ , (732) 775 9421",-74.00951,40.22708
 Ashburn,"44091 Ashburn Shopping Plz , Ashburn , VA , (703) 723 1760",-77.47477,39.04348
 Asheboro,"758 W Dixie Dr , Asheboro , NC , (336) 629 7733",-79.82159,35.68803
 Asheville,"298 Smokey Park Hwy , Asheville , NC , (828) 667 1798",-82.63648,35.56021
 Asheville,"1296 Patton Ave E , Asheville , NC , (828) 253 8473",-82.60197,35.58524
 Asheville,"690 Merrimon Ave , Asheville , NC , (828) 252 3640",-82.55475,35.62222
 Asheville,"85 Tunnel Rd , Asheville , NC , (828) 253 6908",-82.53255,35.59503
 Asheville,"1834 Hendersonville Rd , Asheville , NC , (828) 274 9319",-82.52374,35.50318
 Asheville,"801 Fairview Rd , Asheville , NC , (828) 299 8447",-82.50504,35.56956
 Ashland,"10699 Us 60 , Ashland , KY , (606) 928 6927",-82.71244,38.40082
 Ashland,"1240 Winchester Ave , Ashland , KY , (606) 920 7293",-82.64374,38.48061
 Ashland,"910 Claremont Ave , Ashland , OH , (419) 281 5029",-82.32435,40.86131
 Ashland,"10501 Atlee Station Rd , Ashland , VA , (804) 550 8520",-77.47448,37.74693
 Ashland,"811 England St , Ashland , VA , (804) 798 4495",-77.46519,37.75809
 Ashland,"West St , Ashland , NH , (603) 968 7209",-71.6473,43.70134
 Aston,"229 Pennell Rd , Aston , PA , (610) 494 9295",-75.42776,39.86501
 Astoria,"350 Marine Dr , Astoria , OR , (503) 325 4775",-123.83907,46.19069
 Astoria,"31 99 Steinway St , Astoria , NY , (718) 267 1736",-73.919,40.75898
 Astoria,"20 98 31st St , Astoria , NY , (718) 777 1195",-73.90846,40.77796
 Astoria,"48 98 Astoria Blvd S , Astoria , NY , (718) 626 5632",-73.90222,40.76731
 Atascadero,"8304 El Camino Real , Atascadero , CA , (805) 466 4888",-120.65458,35.47427
 Athens,"1600 Us 72 E , Athens , AL , (256) 771 2951",-86.93758,34.78223
 Athens,"2635 Decatur Pike , Athens , TN , (423) 745 4900",-84.64354,35.46278
 Athens,"3700 Atlanta Hwy , Athens , GA , (706) 354 4893",-83.46672,33.94093
